ROI,ROI_VALUE,DICE,HD95,MAD,ZONAL_ID,INFERENCE_TIME,DATASET_ID,SUBJECT_ID,IMAGE,SEGM,EXPERIMENT_ID
PZ,1,0.6430243,22.20360331117452,6.146703832827364,WG,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
CG,2,0.8692236,5.744562646538029,0.9394209295809083,WG,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
PZ,1,0.81504124,5.0990195135927845,0.9957189241671905,Apex,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
CG,2,0.5214474,7.3484692283495345,0.5194802532738396,Apex,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
PZ,1,0.67530733,17.11724276862369,4.113430333575039,Mid,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
CG,2,0.88709515,4.47213595499958,0.5449827119014024,Mid,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
PZ,1,,,inf,Base,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
CG,2,0.875838,3.741657386773941,0.2875305313734203,Base,0.013764619827270508,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
PZ,1,0.70315754,12.84523257866513,2.6279369535070995,WG,0.007245063781738281,Prostate3T,2,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0002.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0002.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
CG,2,0.86238533,7.280109889280517,0.7537412310627861,WG,0.007245063781738281,Prostate3T,2,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0002.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0002.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
PZ,1,0.7918194,3.0,0.38488424470511134,Apex,0.007245063781738281,Prostate3T,2,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0002.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0002.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.8
