ROI,ROI_VALUE,DICE,HD95,MAD,ZONAL_ID,INFERENCE_TIME,DATASET_ID,SUBJECT_ID,IMAGE,SEGM,EXPERIMENT_ID
PZ,1,0.79454505,6.082762530298219,1.4786920326956543,WG,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
CG,2,0.9485645,3.0,0.36737053973723666,WG,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
PZ,1,0.87441766,4.0,0.6379189732685158,Apex,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
CG,2,0.7566719,5.0,0.4595331696265021,Apex,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
PZ,1,0.7779933,8.246211251235321,1.510491534517277,Mid,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
CG,2,0.9446549,3.0,0.299486426692771,Mid,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
PZ,1,,inf,inf,Base,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
CG,2,0.9833754,1.0,0.010419724097446435,Base,0.012585163116455078,Prostate3T,1,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0001.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0001.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
PZ,1,0.776842,5.744562646538029,1.2061060804146595,WG,0.003755807876586914,Prostate3T,2,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0002.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0002.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
CG,2,0.8991226,6.6332495807108,0.49514864541099823,WG,0.003755807876586914,Prostate3T,2,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/image/Prostate3T-01-0002.nii.gz,/data16/public/prostate/data/public/TCIA/Prostate3T/nifti/segm/Prostate3T-01-0002.nii.gz,CG_Gland_Mask_Resized_Full_CE_Hyper_meanCG_stochastic_womask_lambd0.4
